00164: 10291
00427: 10385
00603: P0227
00662: 10348
00704: 10139
01048: O454 
01078: 10400
01200: 10130
01262: 10870
01270: 10554
01303: 10410
01346: 10908
01357: P182 
01420: L838 
01468: 10815
01503: 10210
01550: 10963
01612: 10567
01639: 10532
01684: 10499
01691: 10444
01766: 10315
01803: B334 
01832: 10791
01869: 10289
01886: P606 
01975: 10147
02171: 10542
02252: O598 
02290: 10962
02483: 10427
02485: 10747
02564: 10046
02597: 10658
02601: P0050
02667: 10513
02878: N769 
02928: 10471
02932: 10469
02985: 10591
03028: 10430
03032: 10020
03086: 10156
03093: 10253
03098: 10418
03167: 10526
03268: 10827
03287: L947 
03362: 10736 
03366: 10875
03376: F475 
03379: 10865
03402: K2753
03513: 10557
03660: 10506
03668: 10763
03761: 10742
04036: N748 
04094: Q879 
04271: P0175
04336: 10708
04371: 10325
04393: EW020
04501: 10552
04887: 10836
04928: 10739
04931: 10738
05100: 10609
05142: 10193
05349: 10268
05404: 10863
05440: 10761
05516: EW027
05538: P831 
05705: 10655
05779: 10582
05856: 10895
06159: K1091
06163: 10150
07369: 10756
07370: 10782
07394: 10686
07396: 10534
07403: 10945
07412: 10646
13711: M765 
13965: N1043
15207: 10441
15444: 10840
