00161: 10520
00096: 10271
00183: 10091
00198: 10460
00232: 10852
00282: 10675
00303: 10376
00298: 10180
00342: 10312
00430: 10382
00433: 10384
00460: 10704
00591: 10249
00596: 10161
00656: 10452
00691: 10224
00701: 10129
00840: 10574
00853: 10577
00856: 10982
00880: 10496
00891: 10131
00953: 10615
00963: 10321
01001: 10490
01358: 10578
01443: 10803
01544: 10359
01580: 10628
01587: 10777
01587: P438 
01605: 10365
01694: 10168
01757: 10184
01759: 10097
02014: 10338
02023: 10850
02044: 10458
02115: 10015
02261: 10685
02497: H981 
02559: 10946
02638: 10818
02712: 10929
02794: 10267
02812: 10805
02856: F707 
02907: 10022
02925: 10449
03015: 10393
03126: 10361
03158: 10396
03166: 10579
03196: 10264
03231: 10548
03244: 10947
03244: P801 
03631: 10113
03730: 10948
03811: 10480
03821: 10565
03821: N992 
03897: 10152
03925: Q332 
03987: 10379
04024: 10093
04032: N620 
04032: K3187
04039: 10146
04104: 10776
04177: 10731
04280: 10765
04464: 10564
04464: M888 
04466: 10035
04625: 10162
04642: 10261
04745: 10235
04911: 10788
05029: 10706
05109: 10281
05158: 10356
05347: 10435
05371: 10544
05397: 10688
05426: 10724
05480: 10424
05490: 10454
05546: 10368
05629: 10474
05797: O805 
05800: 10796
05825: F431 
05839: EW006
05839: 10203
05871: 10616
05906: 10729
06314: O536 
06344: L602 
07341: 10641
07351: 10282
07367: 10442
07368: 10540
07368: N9357
07374: 10309
07374: N3102
07389: F361 
07393: 10495
07393: N3619
07395: 10872
07410: 10537
13674: 10733
15000: 10505
00164: 10291
00427: 10385
00603: P0227
00662: 10348
00704: 10139
01048: O454 
01078: 10400
01200: 10130
01262: 10870
01270: 10554
01303: 10410
01346: 10908
01357: P182 
01420: L838 
01468: 10815
01503: 10210
01550: 10963
01612: 10567
01639: 10532
01684: 10499
01691: 10444
01766: 10315
01803: B334 
01832: 10791
01869: 10289
01886: P606 
01975: 10147
02171: 10542
02252: O598 
02290: 10962
02483: 10427
02485: 10747
02564: 10046
02597: 10658
02601: P0050
02667: 10513
02878: N769 
02928: 10471
02932: 10469
02985: 10591
03028: 10430
03032: 10020
03086: 10156
03093: 10253
03098: 10418
03167: 10526
03268: 10827
03287: L947 
03362: 10736
03366: 10875
03376: F475 
03379: 10865
03402: K2753
03513: 10557
03660: 10506
03668: 10763
03761: 10742
04036: N748 
04094: Q879 
04271: P0175
04336: 10708
04371: 10325
04393: EW020
04501: 10552
04887: 10836
04928: 10739
04931: 10738
05100: 10609
05142: 10193
05349: 10268
05404: 10863
05440: 10761
05516: EW027
05538: P831 
05705: 10655
05779: 10582
05856: 10895
06159: K1091
06163: 10150
07369: 10756
07370: 10782
07394: 10686
07396: 10534
07403: 10945
07412: 10646
13711: M765 
13965: N1043
15207: 10441
15444: 10840
